date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:24	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2002:49:23%20GMT	http://tradingver.com/robots.txt		(from )
23:49:25	23297/23297	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Apr%202024%2002:49:23%20GMT	http://tradingver.com/	C:/Mis%20lugares%20Web/tradingver/tradingver.com/index.html	(from )
23:49:26	23063/23063	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2028%20Dec%202023%2002:04:22%20GMT	http://tradingver.com/WebResource.axd?d=cJxqOlHcz0V4eJAOA5UjP8Oo1EAnKd2fdWGwV6RpW9Uwk3T99KssfUrVEAIXcxppCZvyMlT2-mBVORgtSguojvzvlbJ5wf_P0QTnp65RmfI1&t=638393006620000000	C:/Mis%20lugares%20Web/tradingver/tradingver.com/WebResourcee7dc.js	(from http://tradingver.com/)
23:49:26	6670/6670	U-----	200	untouched ('OK')	text/css	etag:%222caeaf13115bda1:0%22	http://tradingver.com/style_default.css?ver=6.1	C:/Mis%20lugares%20Web/tradingver/tradingver.com/style_default9b2d.css	(from http://tradingver.com/)
23:49:26	5134/5134	U-----	200	untouched ('')	image/png	etag:%22cb808baa404bda1:0%22	http://tradingver.com/logotv2.png	C:/Mis%20lugares%20Web/tradingver/tradingver.com/logotv2.png	(from http://tradingver.com/)
23:49:26	663/663	U-----	200	untouched ('')	image/png	etag:%22ebddaa6404bda1:0%22	http://tradingver.com/candado5.png	C:/Mis%20lugares%20Web/tradingver/tradingver.com/candado5.png	(from http://tradingver.com/)
23:49:27	17335/17335	U-----	200	untouched ('')	image/png	etag:%22f1192bbe159da1:0%22	http://tradingver.com/logotv44mitad333.png	C:/Mis%20lugares%20Web/tradingver/tradingver.com/logotv44mitad333.png	(from http://tradingver.com/)
23:49:27	52/52	---MC-	302	error ('Found')	text/plain	date:Thu,%2011%20Apr%202024%2002:49:26%20GMT	https://unpkg.com/axios/dist/axios.min.js	C:/Mis%20lugares%20Web/tradingver/unpkg.com/axios/dist/axios.min.4.delayed	(from http://tradingver.com/)
23:49:28	1117/1117	U--M-Z	200	updated ('OK')	text/html	date:Thu,%2011%20Apr%202024%2002:49:26%20GMT	http://tradingver.com/login/Default.aspx	C:/Mis%20lugares%20Web/tradingver/tradingver.com/login/Default.html	(from http://tradingver.com/)
23:49:28	40847/40847	---M-Z	200	added ('OK')	application/javascript	etag:%22b6e99ea8404bda1:0%22	http://tradingver.com/jhash.js	C:/Mis%20lugares%20Web/tradingver/tradingver.com/jhash.js	(from http://tradingver.com/)
23:49:28	15484/15484	U-----	200	untouched ('')	image/png	etag:%22b134dfa9404bda1:0%22	http://tradingver.com/login_imagen_doble.png	C:/Mis%20lugares%20Web/tradingver/tradingver.com/login_imagen_doble.png	(from http://tradingver.com/)
23:49:28	930/930	U-----	200	untouched ('')	image/png	etag:%224d38e5a5404bda1:0%22	http://tradingver.com/candado4.png	C:/Mis%20lugares%20Web/tradingver/tradingver.com/candado4.png	(from http://tradingver.com/)
23:49:29	596/596	U-----	200	untouched ('')	image/png	etag:%22f19ec0a5404bda1:0%22	http://tradingver.com/arriba_abajo.png	C:/Mis%20lugares%20Web/tradingver/tradingver.com/arriba_abajo.png	(from http://tradingver.com/)
23:49:29	137/137	U-----	200	untouched ('')	image/png	etag:%22d33fc1a8404bda1:0%22	http://tradingver.com/linea.png	C:/Mis%20lugares%20Web/tradingver/tradingver.com/linea.png	(from http://tradingver.com/)
23:49:29	3478241/3478241	U-----	200	untouched ('')	application/javascript	etag:%22cfee3aaf404bda1:0%22	http://tradingver.com/plotly-latest.min.js	C:/Mis%20lugares%20Web/tradingver/tradingver.com/plotly-latest.min.js	(from http://tradingver.com/)
23:49:30	9313/9313	U-----	200	untouched ('')	application/javascript	etag:%22994385fc105bda1:0%22	http://tradingver.com/soporte_resistencia_web.js?ver=55.3	C:/Mis%20lugares%20Web/tradingver/tradingver.com/soporte_resistencia_web433f.js	(from http://tradingver.com/)
23:49:30	71887/71887	U-----	200	untouched ('')	application/javascript	etag:%229d9ce9a5fe6bda1:0%22	http://tradingver.com/entradaManual_web.js?ver=55.3	C:/Mis%20lugares%20Web/tradingver/tradingver.com/entradaManual_web433f.js	(from http://tradingver.com/)
23:49:31	6938/6938	U-----	200	untouched ('')	application/javascript	etag:%2277271c8b115bda1:0%22	http://tradingver.com/rsi_web.js?ver=55.3	C:/Mis%20lugares%20Web/tradingver/tradingver.com/rsi_web433f.js	(from http://tradingver.com/)
23:49:31	28080/28080	U-----	200	untouched ('')	application/javascript	etag:%225a9e223c115bda1:0%22	http://tradingver.com/tverplotly_web.js?ver=55.3	C:/Mis%20lugares%20Web/tradingver/tradingver.com/tverplotly_web433f.js	(from http://tradingver.com/)
23:49:31	62428/62428	U-----	200	untouched ('')	text/javascript	date:Tue,%2004%20Apr%202023%2017:52:30%20GMT	https://www.gstatic.com/charts/loader.js	C:/Mis%20lugares%20Web/tradingver/www.gstatic.com/charts/loader.js	(from http://tradingver.com/)
23:49:31	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Apr%202024%2002:49:29%20GMT	http://tradingver.com/POST	C:/Mis%20lugares%20Web/tradingver/tradingver.com/POST.a.delayed	(from http://tradingver.com/WebResource.axd?d=cJxqOlHcz0V4eJAOA5UjP8Oo1EAnKd2fdWGwV6RpW9Uwk3T99KssfUrVEAIXcxppCZvyMlT2-mBVORgtSguojvzvlbJ5wf_P0QTnp65RmfI1&t=638393006620000000)
23:49:32	41481/41481	U-----	200	untouched ('')	application/javascript	etag:%22a209-1jEH0JEv2zh1MNXOLVEsko1z0SI%22	https://unpkg.com/axios@1.6.8/dist/axios.min.js	C:/Mis%20lugares%20Web/tradingver/unpkg.com/axios@1.6.8/dist/axios.min.js	(from http://tradingver.com/)
23:49:33	20469/20469	---MCZ	200	added ('OK')	application/javascript	etag:W/%22642abc84-4ff5%22	https://telegram.org/js/telegram-widget.js?21	C:/Mis%20lugares%20Web/tradingver/telegram.org/js/telegram-widget3c59.js	(from http://tradingver.com/login/Default.aspx)
